period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
32,24,raw,-0.0005406975746154785,0.0019471287727355958,0.002447163344589714,-0.1205755591392517,0.43420971632003785,0.5457174258435062,5,sample_ddof1; count=1 written as 0; empty=nan
32,25,raw,-0.0015894293785095215,0.0020381808280944824,0.0024463142753702845,-0.35444275140762327,0.4545143246650696,0.5455280834075734,5,sample_ddof1; count=1 written as 0; empty=nan
32,26,raw,-0.0016467273235321045,0.0030235707759857177,0.0031687674566937,-0.3672201931476593,0.6742562830448151,0.7066351428426951,5,sample_ddof1; count=1 written as 0; empty=nan
32,27,raw,-0.0009293854236602783,0.0022630274295806887,0.0025689064228592005,-0.20725294947624207,0.5046551167964936,0.5728661322976017,5,sample_ddof1; count=1 written as 0; empty=nan
32,28,raw,-0.0009961068630218507,0.0016033828258514404,0.001893204388924738,-0.2221318304538727,0.35755437016487124,0.42218457873021653,5,sample_ddof1; count=1 written as 0; empty=nan
32,29,raw,-0.0005961418151855469,0.0018375158309936524,0.002287099413888198,-0.13293962478637694,0.4097660303115845,0.5100231692970681,5,sample_ddof1; count=1 written as 0; empty=nan
32,30,raw,-3.68952751159668e-05,0.002486693859100342,0.002996418383722418,-0.008227646350860596,0.5545327305793762,0.6682012995700992,5,sample_ddof1; count=1 written as 0; empty=nan
32,31,raw,0.0012774765491485596,0.002600950002670288,0.0033592301271287085,0.2848772704601288,0.5800118505954742,0.749108318349702,5,sample_ddof1; count=1 written as 0; empty=nan
32,0,detrended,0.001994643413987708,0.002656820209287164,0.003001031760687936,0.44480548131925896,0.5924709066710375,0.6692300826334098,5,sample_ddof1; count=1 written as 0; empty=nan
32,1,detrended,0.0009554864979732935,0.0021260529254092412,0.0024638382490289345,0.2130734890480445,0.4741098023662609,0.5494359295334524,5,sample_ddof1; count=1 written as 0; empty=nan
32,2,detrended,0.00028557439587794666,0.0018793959221397184,0.002566725930168712,0.06368309028078209,0.41910529063715724,0.5723798824276228,5,sample_ddof1; count=1 written as 0; empty=nan
32,3,detrended,0.0007971097997335272,0.0021455445970222746,0.0024619295201273672,0.17775548534057656,0.4784564451359672,0.5490102829884028,5,sample_ddof1; count=1 written as 0; empty=nan
32,4,detrended,0.00036109824466576835,0.003033595133097387,0.004016515217738944,0.0805249085604663,0.6764917146807173,0.8956828935557843,5,sample_ddof1; count=1 written as 0; empty=nan
32,5,detrended,-0.0005566052669220717,0.002653612066036293,0.003529994677491322,-0.12412297452362195,0.5917554907260933,0.7871888130805649,5,sample_ddof1; count=1 written as 0; empty=nan
32,6,detrended,-0.0006852118270252313,0.002268661562565984,0.003080851549421199,-0.15280223742662655,0.5059115284522144,0.6870298955209274,5,sample_ddof1; count=1 written as 0; empty=nan
32,7,detrended,9.017545785757128e-05,0.002183022580929096,0.0028304020899264652,0.02010912710223838,0.48681403554718844,0.6311796660536018,5,sample_ddof1; count=1 written as 0; empty=nan
