variant,source,stage,cumulative_stride,shift_px,comparison,alignment,feature_height,feature_width,overlap_height,overlap_feature_columns,normalized_l1,normalized_l2
antialias,trained_checkpoint,layer3,16,16,raw_unaligned,none,14,14,14,14,0.5077658891677856,0.689353346824646
antialias,trained_checkpoint,layer3,16,16,fractional_aligned,bilinear_fractional,14,14,14,13,0.01543410960584879,0.01912824809551239
antialias,trained_checkpoint,layer3,16,16,exact_integer,exact_integer,14,14,14,13,0.015434028580784798,0.019128253683447838
antialias,trained_checkpoint,layer4,32,16,raw_unaligned,none,7,7,7,7,0.3761671781539917,0.4441811442375183
antialias,trained_checkpoint,layer4,32,16,fractional_aligned,bilinear_fractional,7,7,7,6,0.1789962500333786,0.19107267260551453
antialias,trained_checkpoint,stem_conv,2,32,raw_unaligned,none,112,112,112,112,1.1823337078094482,1.4126229286193848
antialias,trained_checkpoint,stem_conv,2,32,fractional_aligned,bilinear_fractional,112,112,112,96,3.992301458310976e-07,8.981897963167285e-07
antialias,trained_checkpoint,stem_conv,2,32,exact_integer,exact_integer,112,112,112,96,0.0,0.0
antialias,trained_checkpoint,stem_pool,4,32,raw_unaligned,none,56,56,56,56,1.5342744588851929,1.4123355150222778
antialias,trained_checkpoint,stem_pool,4,32,fractional_aligned,bilinear_fractional,56,56,56,48,0.0010502468794584274,0.0009833251824602485
antialias,trained_checkpoint,stem_pool,4,32,exact_integer,exact_integer,56,56,56,48,0.0010490569984540343,0.000983324134722352
antialias,trained_checkpoint,layer1,4,32,raw_unaligned,none,56,56,56,56,1.2096878290176392,1.394144058227539
antialias,trained_checkpoint,layer1,4,32,fractional_aligned,bilinear_fractional,56,56,56,48,0.005019313655793667,0.0039734747260808945
antialias,trained_checkpoint,layer1,4,32,exact_integer,exact_integer,56,56,56,48,0.005018587224185467,0.003973475191742182
antialias,trained_checkpoint,layer2,8,32,raw_unaligned,none,28,28,28,28,0.9923577308654785,1.326470971107483
antialias,trained_checkpoint,layer2,8,32,fractional_aligned,bilinear_fractional,28,28,28,24,0.009010453708469868,0.009558483026921749
antialias,trained_checkpoint,layer2,8,32,exact_integer,exact_integer,28,28,28,24,0.009010324254631996,0.009558483026921749
antialias,trained_checkpoint,layer3,16,32,raw_unaligned,none,14,14,14,14,0.8956329822540283,1.1224355697631836
antialias,trained_checkpoint,layer3,16,32,fractional_aligned,bilinear_fractional,14,14,14,12,0.015238618478178978,0.018421437591314316
antialias,trained_checkpoint,layer3,16,32,exact_integer,exact_integer,14,14,14,12,0.01523854210972786,0.018421439453959465
antialias,trained_checkpoint,layer4,32,32,raw_unaligned,none,7,7,7,7,0.7015722393989563,0.7974429130554199
antialias,trained_checkpoint,layer4,32,32,fractional_aligned,bilinear_fractional,7,7,7,6,0.0508006289601326,0.06170216575264931
antialias,trained_checkpoint,layer4,32,32,exact_integer,exact_integer,7,7,7,6,0.050800614058971405,0.06170216202735901
