split,id,prediction_mae_px,sigma_min,sigma_max,rank,condition,valid,epsilon,jtj_pixel_normalization,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8
test_id,full-test_id-000990,16.01565170288086,1.166257724458519,12.484317969276232,8,10.704596168975058,True,0.0033632286995515697,50176.0,12.484317969276232,7.817234505549719,4.3467944645458445,3.4468749416467928,2.0452548304606943,1.7475797066410206,1.308135232731471,1.166257724458519
test_id,full-test_id-000908,6.671647548675537,0.8724152161044034,9.579092765439162,8,10.9799698453366,True,0.0033632286995515697,50176.0,9.579092765439162,7.779601307645769,3.772596508676305,2.3436187201188163,1.6077130044964125,1.4105442735757554,1.061135895351656,0.8724152161044034
test_id,full-test_id-000344,3.6656930446624756,0.8036325111951412,7.5156126918008255,8,9.352051574697747,True,0.0033632286995515697,50176.0,7.5156126918008255,5.554005418902289,4.297680711556284,3.9863394240453474,2.5142014586752546,1.5289657927993185,0.9781342714297089,0.8036325111951412
test_id,full-test_id-000907,19.488618850708008,0.7155438707296297,9.089583679782253,8,12.703041772286774,True,0.0033632286995515697,50176.0,9.089583679782253,7.8371678938085525,3.678497257299828,2.0677168599724207,1.7477657146357304,1.3673377009831675,1.190052247142078,0.7155438707296297
test_id,full-test_id-000378,5.015410900115967,0.9531747629508579,8.795956685234005,8,9.228062918916677,True,0.0033632286995515697,50176.0,8.795956685234005,6.647986347944511,3.4257535423949865,2.5760496272749647,2.304697437376794,1.5173800244484585,1.3643071863645615,0.9531747629508579
test_id,full-test_id-000919,8.060254096984863,0.6649418071351721,8.162351038106902,8,12.275286273957542,True,0.0033632286995515697,50176.0,8.162351038106902,4.0525126390886275,2.8092452453934262,1.742000483056553,1.5674192788253076,1.1945239510754406,0.9559174946710086,0.6649418071351721
test_id,full-test_id-000606,2.8238637447357178,0.8759944023182494,7.527615548536175,8,8.593223345508761,True,0.0033632286995515697,50176.0,7.527615548536175,6.349987997471549,4.0573404668666955,2.880459408844996,1.8202777731240007,1.4605986420982453,1.1977617127629159,0.8759944023182494
test_id,full-test_id-000480,3.710714101791382,1.0019773227226068,9.059118355687435,8,9.041240904606195,True,0.0033632286995515697,50176.0,9.059118355687435,6.410176807542609,3.885967427308162,3.5537989438985638,2.027327322601654,1.5167419349446092,1.273582108473241,1.0019773227226068
test_id,full-test_id-000257,2.6114373207092285,0.8623025414034905,5.708606516190703,8,6.620189831401087,True,0.0033632286995515697,50176.0,5.708606516190703,4.936942458364593,3.756610406123507,1.985383856478451,1.6466301541004837,1.1600772028264825,1.0448955528402069,0.8623025414034905
test_id,full-test_id-000894,2.4849324226379395,1.1782173301300438,10.787183940986196,8,9.155512879610741,True,0.0033632286995515697,50176.0,10.787183940986196,7.578184681259653,4.516027016225428,2.2289443727924834,2.0526159438546596,1.6925183042252776,1.4037028286625994,1.1782173301300438
test_id,full-test_id-000226,14.512187004089355,1.1172965930369143,10.636158425101222,8,9.519547890315472,True,0.0033632286995515697,50176.0,10.636158425101222,7.377728570277501,4.800455601685537,3.5141437515532177,1.7433277226236248,1.7301066367881517,1.3912081226522695,1.1172965930369143
test_id,full-test_id-000464,18.136789321899414,0.8980147730913347,8.198921749934453,8,9.130052194698763,True,0.0033632286995515697,50176.0,8.198921749934453,5.615202990458726,3.426406538882389,2.1383917199194777,1.441808302354732,1.298797186789597,0.9980431033395691,0.8980147730913347
test_id,full-test_id-000473,2.0138566493988037,1.0894257238028655,9.268636115086704,8,8.507818305164133,True,0.0033632286995515697,50176.0,9.268636115086704,7.599505303776887,4.690307909480452,2.121691057933002,1.9379783270320805,1.4176355983640856,1.264595201190232,1.0894257238028655
test_id,full-test_id-000549,3.378814935684204,0.6739196138874068,7.147206196932436,8,10.605428376991169,True,0.0033632286995515697,50176.0,7.147206196932436,5.24419223678679,3.9344909052734693,2.845944274296005,1.9254260359142472,1.2518923988003219,0.9826852383630446,0.6739196138874068
test_id,full-test_id-000320,3.497649908065796,0.9422520971741221,8.971717497763702,8,9.521568086365095,True,0.0033632286995515697,50176.0,8.971717497763702,6.6803256516032565,3.893817410463841,2.3287783716542956,2.0901049662254336,1.4123044695333697,1.3496106474699603,0.9422520971741221
test_id,full-test_id-000016,1.7340127229690552,0.8558159358641327,7.730449796556079,8,9.032841610679409,True,0.0033632286995515697,50176.0,7.730449796556079,5.621730288635242,4.6383668968302345,3.0519521824489977,1.9857197886159674,1.2920420684983749,1.1059382038940722,0.8558159358641327
test_id,full-test_id-000927,2.9424092769622803,0.9316755221751077,6.351501516850805,8,6.8172892446744395,True,0.0033632286995515697,50176.0,6.351501516850805,4.8766867295285214,4.238768191978142,3.218665007419102,2.141867287434219,1.2973960037685528,1.0635730029210113,0.9316755221751077
test_id,full-test_id-000202,11.400372505187988,0.8301314225989059,8.41199886875458,8,10.133333879133255,True,0.0033632286995515697,50176.0,8.41199886875458,5.126184613517521,3.900840876882591,1.6409773333111182,1.5879436724668732,1.432689915783141,1.0325155191869253,0.8301314225989059
test_id,full-test_id-000497,3.966724157333374,0.7682844329285755,9.271375390506735,8,12.06763405990898,True,0.0033632286995515697,50176.0,9.271375390506735,7.75371525845742,3.8714233306818824,2.278219890851333,1.7089285705215393,1.506819751771061,1.2112060184715872,0.7682844329285755
test_id,full-test_id-000308,4.681650638580322,0.8032498006049419,7.499011995563866,8,9.335840469448266,True,0.0033632286995515697,50176.0,7.499011995563866,5.868633042136176,3.5449365276083435,1.9932902476726908,1.3971881633642287,1.344501805591256,0.9648726394110784,0.8032498006049419
test_id,full-test_id-000569,4.558340072631836,1.039105160031581,9.411793139211339,8,9.057594458413902,True,0.0033632286995515697,50176.0,9.411793139211339,7.03761296614092,3.805073730316254,2.8154589783046404,1.6909160646140302,1.4434382199593367,1.17282840877363,1.039105160031581
test_id,full-test_id-000641,6.778419017791748,0.9784078567880314,8.530786552618542,8,8.719049518494112,True,0.0033632286995515697,50176.0,8.530786552618542,7.256457412744956,3.31013170826697,2.0166021697209535,1.6350104940015882,1.497575909117412,1.0882718044767008,0.9784078567880314
test_id,full-test_id-000790,5.819821357727051,0.8692706465519235,8.951700028719939,8,10.297943527977202,True,0.0033632286995515697,50176.0,8.951700028719939,6.353821297742632,3.7429705181385886,2.597760793924383,1.6917532282109715,1.4845170433543504,1.1529429002366602,0.8692706465519235
test_id,full-test_id-000626,6.504897117614746,0.8964633625836752,8.217577488915838,8,9.166662946751286,True,0.0033632286995515697,50176.0,8.217577488915838,6.024855921838847,4.419167720613374,2.432797971490565,1.7018042896646715,1.2898291594816713,0.9527359411200926,0.8964633625836752
test_id,full-test_id-000196,4.893021106719971,1.055542307434117,7.742512180299172,8,7.335103601029682,True,0.0033632286995515697,50176.0,7.742512180299172,6.80377462114354,5.0021042290209765,2.7222490522885434,1.7194177989075414,1.4545078235244822,1.2195832743043098,1.055542307434117
test_id,full-test_id-000039,18.808547973632812,1.042650376852585,10.313528329384486,8,9.891645903891197,True,0.0033632286995515697,50176.0,10.313528329384486,6.558531412739709,3.604163635286608,2.952449008792373,1.8385905232430864,1.640223269410939,1.4733804170459346,1.042650376852585
test_id,full-test_id-000053,10.639486312866211,0.8962833861302213,9.474141188019848,8,10.570475069191282,True,0.0033632286995515697,50176.0,9.474141188019848,8.756151227096135,4.504731710571106,3.7410721832462337,1.850198813083211,1.5870417624274595,1.4366284354685237,0.8962833861302213
test_id,full-test_id-000596,3.3926937580108643,0.9385581744818404,7.779488395844158,8,8.2887652650184,True,0.0033632286995515697,50176.0,7.779488395844158,5.4213448391497225,4.227019288232528,3.5320611989394415,1.9961602455000815,1.3101144235598097,1.0396789991181834,0.9385581744818404
test_id,full-test_id-000991,5.066165447235107,0.9495487377748749,7.850787530956175,8,8.267914240350969,True,0.0033632286995515697,50176.0,7.850787530956175,6.8091742429406015,4.120506059564859,2.9863914601838464,1.605804140394944,1.4802606637285936,1.3555299895256916,0.9495487377748749
test_id,full-test_id-000712,3.908316135406494,0.8674377409836425,9.776949559828855,8,11.271067764174239,True,0.0033632286995515697,50176.0,9.776949559828855,6.255239348741431,4.602213848017017,3.3021910321745827,1.8765650782282939,1.3899781580701553,1.2301557298377535,0.8674377409836425
test_id,full-test_id-000981,20.208389282226562,0.9291994167859818,10.587575573116359,8,11.394298556210723,True,0.0033632286995515697,50176.0,10.587575573116359,9.325797548970161,4.470583080307361,2.363855029711144,1.8533976633170433,1.5335938230100326,1.3944629738199814,0.9291994167859818
test_id,full-test_id-000666,9.400125503540039,1.0895438039151149,10.414094397223293,8,9.558215429064699,True,0.0033632286995515697,50176.0,10.414094397223293,8.965097393283067,4.399813532394962,3.517301953442124,2.2105458476476,1.7233242367890294,1.6215331072855033,1.0895438039151149
test_id,full-test_id-000878,4.341465473175049,1.0443199508065564,7.526992234105261,8,7.2075538040731315,True,0.0033632286995515697,50176.0,7.526992234105261,5.403427069741106,4.185910935913489,2.917924900116864,2.4388585884781078,1.5515185064919228,1.1544447783219305,1.0443199508065564
test_id,full-test_id-000671,4.665886878967285,0.9323144050712378,7.5379601301885835,8,8.085212551888663,True,0.0033632286995515697,50176.0,7.5379601301885835,6.484721647733034,3.807795378617031,2.501187736913138,1.7282112178166893,1.390753440237257,1.250524458208072,0.9323144050712378
test_id,full-test_id-000129,7.699869155883789,1.0296877873969137,7.9484405395323225,8,7.719272421037696,True,0.0033632286995515697,50176.0,7.9484405395323225,7.434178677480773,4.372556205260816,2.1561731325918667,1.573508227114477,1.372607833139712,1.150514512091272,1.0296877873969137
test_id,full-test_id-000487,8.388442039489746,0.9421479066005339,11.044668442983806,8,11.722860461299831,True,0.0033632286995515697,50176.0,11.044668442983806,5.673684558627255,4.125857192356894,1.847312539162915,1.681554691016517,1.6614281500146852,1.1995918226498814,0.9421479066005339
test_id,full-test_id-000208,6.553945541381836,0.5519119335343409,7.407717852633714,8,13.421920061043204,True,0.0033632286995515697,50176.0,7.407717852633714,5.178948612224475,2.9970091329070625,2.329686128109799,1.7724638244712323,1.3387556220123238,0.8110121213390137,0.5519119335343409
test_id,full-test_id-000768,9.526692390441895,0.9869019989490078,10.048326916471481,8,10.18168665903236,True,0.0033632286995515697,50176.0,10.048326916471481,8.238437516590375,4.6029326447127445,2.459064958481081,2.000162780374766,1.542836064763684,1.255741050979522,0.9869019989490078
test_id,full-test_id-000093,5.1893486976623535,1.0738518570603481,8.384594180122075,8,7.807961708121234,True,0.0033632286995515697,50176.0,8.384594180122075,6.667796117053086,6.274466089156084,4.377607032324856,2.3366654759520213,1.459746433955531,1.306063190088878,1.0738518570603481
test_id,full-test_id-000435,4.086688041687012,0.5577239710569479,8.651709042208376,8,15.51252858257543,True,0.0033632286995515697,50176.0,8.651709042208376,7.074537040750529,3.032908600421569,1.6195223275505808,1.4504055011297825,1.40229326099018,0.8587321481321412,0.5577239710569479
test_id,full-test_id-000477,3.1777758598327637,0.8677092678058291,7.415773209730784,8,8.546380089362192,True,0.0033632286995515697,50176.0,7.415773209730784,6.8446149253455495,3.6038884599958974,2.006973715512761,1.5233394515959233,1.2935645945211556,1.0880308814907276,0.8677092678058291
test_id,full-test_id-000172,3.964669704437256,0.9329606988625216,9.239001075597017,8,9.902883462145118,True,0.0033632286995515697,50176.0,9.239001075597017,4.902426702027634,3.1651477241967205,2.9676053265952858,1.6509633368764982,1.4170908786208234,1.3776418674925797,0.9329606988625216
