split,metric,value
test_extra,control_rmse_px,25.01553147565507
test_extra,target_inside_fraction,0.7465
test_extra,prediction_inside_fraction,0.75675
test_extra,inside_mae,0.0368973083360542
test_extra,outside_mae,0.08485314292403884
test_extra,inside_count,5972.0
test_extra,outside_count,2028.0
test_extra,pred_inside_when_target_inside,0.9763898191560616
test_extra,pred_inside_when_target_outside,0.10996055226824458
test_extra,inside_mae_px,8.228099758940086
test_extra,outside_mae_px,18.922250872060662
test_extra,control_inside_point_mae,0.09124125072204053
test_extra,control_outside_point_mae,0.07522090205092616
test_extra,control_inside_point_mae_px,20.34679891101504
test_extra,control_outside_point_mae_px,16.774261157356534
test_extra,control_inside_point_count,426.0
test_extra,control_outside_point_count,1574.0
test_extra,samples_with_outside_control_count,1000.0
test_extra,p1_inside_mae,0.07255615676196384
test_extra,p1_outside_mae,0.08735227099148668
test_extra,p1_inside_mae_px,16.180022957917934
test_extra,p1_outside_mae_px,19.47955643110153
test_extra,p1_inside_count,1001.0
test_extra,p1_outside_count,999.0
test_extra,p1_point_inside_mae,0.09132271995292893
test_extra,p1_point_outside_mae,0.07668191669254484
test_extra,p1_point_inside_count,223.0
test_extra,p1_point_outside_count,777.0
test_extra,p2_inside_mae,0.07190737229950311
test_extra,p2_outside_mae,0.08242687573319299
test_extra,p2_inside_mae_px,16.035344022789193
test_extra,p2_outside_mae_px,18.381193288502036
test_extra,p2_inside_count,971.0
test_extra,p2_outside_count,1029.0
test_extra,p2_point_inside_mae,0.09115175496594145
test_extra,p2_point_outside_mae,0.07379655026104195
test_extra,p2_point_inside_count,203.0
test_extra,p2_point_outside_count,797.0
test_extra,outside_coordinate_only_mae,0.08485314292403884
test_extra,outside_coordinate_only_mae_px,18.922250872060662
test_extra,outside_coordinate_only_count,2028.0
test_extra,extra_support_coordinate_count,1000.0
test_extra,extra_support_coordinate_mae,0.09528684969432652
test_extra,extra_support_coordinate_mae_px,21.248967481834814
test_extra,extra_support_correct_side_fraction,0.503
test_extra,curve_t_mae,0.021415187222066596
test_extra,curve_t_rmse,0.030842619180270398
test_extra,curve_t_mae_px,4.775586750520851
test_extra,curve_t_rmse_px,6.877904077200299
test_extra,p0x_mae,0.01297159270197153
test_extra,p0x_rmse,0.01898325805459572
test_extra,p0x_rmse_px,4.233266546174845
test_extra,p0x_mae_px,2.892665172539651
test_extra,p0x_maxabs,0.12317675352096558
test_extra,p0x_maxabs_px,27.468416035175323
test_extra,p0y_mae,0.02842656973749399
test_extra,p0y_rmse,0.0364788877460126
test_extra,p0y_rmse_px,8.13479196736081
test_extra,p0y_mae_px,6.33912505146116
test_extra,p0y_maxabs,0.28095853328704834
test_extra,p0y_maxabs_px,62.65375292301178
test_extra,p1x_mae,0.07784564659488387
test_extra,p1x_rmse,0.11329239514800009
test_extra,p1x_rmse_px,25.26420411800402
test_extra,p1x_mae_px,17.3595791906591
test_extra,p1x_maxabs,0.8553903233259916
test_extra,p1x_maxabs_px,190.75204210169613
test_extra,p1y_mae,0.08204798504433711
test_extra,p1y_rmse,0.11521296278342893
test_extra,p1y_rmse_px,25.692490700704653
test_extra,p1y_mae_px,18.296700664887176
test_extra,p1y_maxabs,0.5630678534507751
test_extra,p1y_maxabs_px,125.56413131952286
test_extra,p2x_mae,0.07972050070681144
test_extra,p2x_rmse,0.11425975795679456
test_extra,p2x_rmse_px,25.479926024365188
test_extra,p2x_mae_px,17.777671657618953
test_extra,p2x_maxabs,0.5952550768852234
test_extra,p2x_maxabs_px,132.74188214540482
test_extra,p2y_mae,0.07491881292546168
test_extra,p2y_rmse,0.10569046696667954
test_extra,p2y_rmse_px,23.568974133569537
test_extra,p2y_mae_px,16.706895282377953
test_extra,p2y_maxabs,0.6265479922294617
test_extra,p2y_maxabs_px,139.72020226716995
test_extra,p3x_mae,0.017858291387557984
test_extra,p3x_rmse,0.02321480784255676
test_extra,p3x_rmse_px,5.176902148890158
test_extra,p3x_mae_px,3.9823989794254304
test_extra,p3x_maxabs,0.1270769238471985
test_extra,p3x_maxabs_px,28.338154017925262
test_extra,p3y_mae,0.01864350013434887
test_extra,p3y_rmse,0.026509065283475335
test_extra,p3y_rmse_px,5.911521558215
test_extra,p3y_mae_px,4.157500529959798
test_extra,p3y_maxabs,0.18802079558372498
test_extra,p3y_maxabs_px,41.92863741517067
test_extra,train_mean_constant_mae_px,69.57026301299497
test_extra,model_to_constant_mae_ratio,0.15723768449851702
test_extra,improvement_over_constant_fraction,0.842762315501483
