id,sigma_min,sigma_max,rank,condition,prediction_error_px,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,jtj_0_0,jtj_0_1,jtj_0_2,jtj_0_3,jtj_0_4,jtj_0_5,jtj_1_0,jtj_1_1,jtj_1_2,jtj_1_3,jtj_1_4,jtj_1_5,jtj_2_0,jtj_2_1,jtj_2_2,jtj_2_3,jtj_2_4,jtj_2_5,jtj_3_0,jtj_3_1,jtj_3_2,jtj_3_3,jtj_3_4,jtj_3_5,jtj_4_0,jtj_4_1,jtj_4_2,jtj_4_3,jtj_4_4,jtj_4_5,jtj_5_0,jtj_5_1,jtj_5_2,jtj_5_3,jtj_5_4,jtj_5_5
minimal-test-000393,0.6278707426073441,8.333481749414629,6,13.272607216587884,2.215955972671509,8.333481749414629,3.709002497255085,2.9448127492533116,1.7779607005540583,1.3500135678989158,0.6278707426073441,7.702747303986952,1.0719993675574802,2.188219979168137,-0.8839439208417572,0.21626274760993716,-0.12248905253822658,1.0719993675574802,8.557596518454876,-0.5605489773523789,8.732008952682378,0.36769747659412344,6.095005667980699,2.188219979168137,-0.5605489773523789,1.3907676091950931,0.2422075032354992,0.601518659342822,1.9142961976457247,-0.8839439208417572,8.732008952682378,0.2422075032354992,21.6722640419185,2.2506431966849916,23.37468710073899,0.21626274760993716,0.36769747659412344,0.601518659342822,2.2506431966849916,2.8987811271022568,7.329901520793502,-0.12248905253822658,6.095005667980699,1.9142961976457247,23.37468710073899,7.329901520793502,55.03128567562645
minimal-test-000406,0.9990162190732084,7.759658403165952,6,7.767299724487577,3.931183338165283,7.759658403165952,5.275374141826796,2.696026644019269,1.5198475689034867,1.324606949690889,0.9990162190732084,26.954643383633414,17.837683353161523,11.165491548607458,10.352370713944616,2.5115675040441006,2.7356340006045983,17.837683353161523,16.12698235925633,10.015088890812317,10.600911989114818,2.8586582060656514,4.135445016786669,11.165491548607458,10.015088890812317,9.984192277128717,10.903402098175867,3.5936534880836857,5.20041965547112,10.352370713944616,10.600911989114818,10.903402098175867,16.879204146119232,5.097453523484558,13.496698969484312,2.5115675040441006,2.8586582060656514,3.5936534880836857,5.097453523484558,3.742446322891901,3.7004740759321146,2.7356340006045983,4.135445016786669,5.20041965547112,13.496698969484312,3.7004740759321146,26.685515656153534
minimal-test-000157,1.1757213512273994,8.163490269717695,6,6.943388636427657,3.985267400741577,8.163490269717695,6.0745621766619395,3.322545511421363,1.6266264553987246,1.331868640012093,1.1757213512273994,4.294459949829604,5.753740681321545,4.045430940349995,6.340789889485205,2.5655976269865244,2.65358625122162,5.753740681321545,43.68625370845505,6.680239420659328,18.985559276270415,3.1035550220905352,5.356413345430765,4.045430940349995,6.680239420659328,12.183244022418332,11.521700172579925,13.352708962806258,8.624991916292652,6.340789889485205,18.985559276270415,11.521700172579925,19.806002899662037,8.14748647920497,8.773107342337802,2.5655976269865244,3.1035550220905352,13.352708962806258,8.14748647920497,31.743936886710006,10.847278782155566,2.65358625122162,5.356413345430765,8.624991916292652,8.773107342337802,10.847278782155566,8.670398625681202
minimal-test-000447,0.8619090059440165,6.618736289120733,6,7.679158987173454,7.076961517333984,6.618736289120733,4.779367380754255,2.465623599741868,1.2839116255376453,1.1567520524490364,0.8619090059440165,2.5565677681748076,0.6575403640486698,1.7912787662723038,2.8781201598286366,1.3554610644639116,1.9663076424742003,0.6575403640486698,25.461993496472648,3.0788837949395433,12.705058766698402,1.9684347059902392,3.735150630513643,1.7912787662723038,3.0788837949395433,5.281498710322906,6.894917031763683,6.1484599934745106,6.65683494789528,2.8781201598286366,12.705058766698402,6.894917031763683,15.04952307706851,6.191617705769671,8.580052618950628,1.3554610644639116,1.9684347059902392,6.1484599934745106,6.191617705769671,15.653805564164653,11.780680316789022,1.9663076424742003,3.735150630513643,6.65683494789528,8.580052618950628,11.780680316789022,12.455325252105203
minimal-test-000288,0.9166820350964517,9.244631181833368,6,10.084883119653004,6.862990379333496,9.244631181833368,4.047766840612658,4.009452295586505,1.9036601072770678,1.465820944771364,0.9166820350964517,14.161230191967844,2.3607559911219385,5.448574807646371,-2.1456719347597435,2.731583096201444,-2.5887379103329775,2.3607559911219385,8.987852694318468,-2.2198007757024376,8.468639199688592,-3.2409877119420742,4.566453116377269,5.448574807646371,-2.2198007757024376,11.523881428797,-10.370078179011253,14.037575996357146,-13.524906270378523,-2.1456719347597435,8.468639199688592,-10.370078179011253,16.128506528973233,-13.524879174027994,14.466253809802772,2.731583096201444,-3.2409877119420742,14.037575996357146,-13.524879174027994,40.17701212633745,-34.28740356940705,-2.5887379103329775,4.566453116377269,-13.524906270378523,14.466253809802772,-34.28740356940705,33.55770562391621
minimal-test-000469,1.1711602856150598,8.764950437698255,6,7.48398878048973,5.298027515411377,8.764950437698255,6.171063455718326,3.2253466614371176,1.5757872347920068,1.3068279060885633,1.1711602856150598,38.72810252300811,20.494595681409812,16.771855179435605,11.855412051530848,4.138493356220483,3.697588314601438,20.494595681409812,15.335816342604575,12.531303418971076,11.040333505542739,3.9696966406388245,4.887368743793812,16.771855179435605,12.531303418971076,15.116945571256824,14.06965130128848,5.6807363389255485,7.161653506309926,11.855412051530848,11.040333505542739,14.06965130128848,20.366849936870164,7.339994911363236,18.035899931323282,4.138493356220483,3.9696966406388245,5.6807363389255485,7.339994911363236,5.044886603470365,4.875575057228772,3.697588314601438,4.887368743793812,7.161653506309926,18.035899931323282,4.875575057228772,36.279161459109794
minimal-test-000304,0.6970113891062869,7.355409157246097,6,10.552781880188867,5.703124046325684,7.355409157246097,4.314123801525426,2.904862322145499,1.4115527263800216,1.2590804676047724,0.6970113891062869,13.925966128553814,2.760914895642353,5.390039916429536,3.57721955149162,0.9263158389717542,1.3493169669828717,2.760914895642353,6.14774871427329,3.8767493842580607,6.91456865998033,1.4779975356155535,4.270886124874785,5.390039916429536,3.8767493842580607,4.22336590014546,5.284824787349579,1.250137549981866,2.8075409408044263,3.57721955149162,6.91456865998033,5.284824787349579,17.105885440505176,2.7764072340537527,18.689016816149117,0.9263158389717542,1.4779975356155535,1.250137549981866,2.7764072340537527,2.1555959731387104,2.1985640109802085,1.3493169669828717,4.270886124874785,2.8075409408044263,18.689016816149117,2.1985640109802085,41.65696059919064
minimal-test-000165,1.3460743302148164,8.042779865553563,6,5.974989408103516,5.291205883026123,8.042779865553563,6.780046428879353,3.6050514778442584,1.7106101515530072,1.489543114250834,1.3460743302148164,33.81092101955161,-16.639462410781302,11.592733255475391,-8.229005849752754,2.1319002146065396,-1.5924728424866674,-16.639462410781302,14.116439924553696,-8.450593030240416,11.401480439397975,-1.5473235484280858,5.812485569254933,11.592733255475391,-8.450593030240416,8.780430131066582,-6.237464730854212,3.3966968902212304,0.8349130745707868,-8.229005849752754,11.401480439397975,-6.237464730854212,22.458837227156653,1.4292715232879638,20.31771747928474,2.1319002146065396,-1.5473235484280858,3.3966968902212304,1.4292715232879638,10.002123287087166,13.465091076599487,-1.5924728424866674,5.812485569254933,0.8349130745707868,20.31771747928474,13.465091076599487,41.43982399427635
minimal-test-000294,1.1273761371906934,6.983714431019484,6,6.1946622787512515,3.5644304752349854,6.983714431019484,5.586036015531791,2.938939230499856,1.406997546406466,1.2476736504714991,1.1273761371906934,12.317364183418464,13.307173545752722,2.968527133347892,4.261707236135194,0.5533481222009501,-0.019238408871173746,13.307173545752722,22.5922799793937,3.9401141999555804,13.035722306215508,-0.07471818656656563,4.4603505818176945,2.968527133347892,3.9401141999555804,3.150126874551561,-0.09128083082361507,3.08916685996294,-4.132254421512613,4.261707236135194,13.035722306215508,-0.09128083082361507,19.858481756537028,-4.5636892886239435,13.824707066650184,0.5533481222009501,-0.07471818656656563,3.08916685996294,-4.5636892886239435,11.72132576096887,-13.58385438094083,-0.019238408871173746,4.4603505818176945,-4.132254421512613,13.824707066650184,-13.58385438094083,23.7811594549312
minimal-test-000226,1.0017332630102245,8.247777525902064,6,8.23350669330612,3.0580027103424072,8.247777525902064,5.364463956389297,2.981180446033911,1.699229980327957,1.4788881113317989,1.0017332630102245,40.09478147658845,16.47791396896449,17.053196586913636,9.908241206613361,5.982989354919528,3.0167450891031784,16.47791396896449,10.657130142361952,9.828435680236142,7.045044361835145,4.050504731985385,3.6081635837886328,17.053196586913636,9.828435680236142,16.584287467029302,12.301973456321532,7.637147039371302,6.852213183339786,9.908241206613361,7.045044361835145,12.301973456321532,12.657585960582493,8.047013211466501,10.672568288072302,5.982989354919528,4.050504731985385,7.637147039371302,8.047013211466501,7.754840037866991,7.828792752531293,3.0167450891031784,3.6081635837886328,6.852213183339786,10.672568288072302,7.828792752531293,24.020081525665837
