id,restart,initial_scale_px,initial_control_mae_px,initial_render_loss,initial_p0x,initial_p0y,initial_p1x,initial_p1y,initial_p2x,initial_p2y,render_loss,control_mae_px,curve_rmse_px,optimizer_success,iterations,function_evaluations,message,solution_p0x,solution_p0y,solution_p1x,solution_p1y,solution_p2x,solution_p2y
minimal-test-000455,2,9.283177667225555,9.114252227048079,0.013900336176137123,0.28377828001976013,0.5333185791969299,0.13319151103496552,0.8403098583221436,0.6816622614860535,0.36339929699897766,0.010707867399410747,7.896728038787842,6.3863569219201235,False,4,686,ABNORMAL: ,0.2993852198123932,0.5351513028144836,0.14928285777568817,0.8196772933006287,0.6493854522705078,0.36697763204574585
minimal-test-000455,3,20.0,15.819245129823685,0.014794096560192706,0.15001000463962555,0.5221908092498779,0.21583223342895508,0.8694419264793396,0.6061649322509766,0.18011491000652313,0.014289597272732624,15.981165885925293,10.275131658187481,True,2,161,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.17301726341247559,0.5243918299674988,0.24451223015785217,0.8826064467430115,0.6122428178787231,0.1907186657190323
minimal-test-000118,0,2.0,1.61713957041502,0.0012181217462475188,0.33962851762771606,0.1685759574174881,0.3431420624256134,0.7055797576904297,0.7781526446342468,0.3417072594165802,0.0006161079627929603,1.144216537475586,0.7930128419477178,True,6,280,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.3351428508758545,0.16392624378204346,0.35040703415870667,0.7018976807594299,0.7778217792510986,0.33781594038009644
minimal-test-000118,1,4.308869380063768,3.7789519876241684,0.009408568574488619,0.29895028471946716,0.17777013778686523,0.33283376693725586,0.6985070109367371,0.8026106357574463,0.33041658997535706,0.00047500771141790045,1.4445579051971436,1.2120477122237976,True,12,315,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.33494213223457336,0.17656800150871277,0.36008623242378235,0.7086878418922424,0.7904008030891418,0.3255837857723236
minimal-test-000118,2,9.283177667225555,6.805504657328129,0.01614164783560483,0.2748102843761444,0.16939468681812286,0.3296203911304474,0.7325928807258606,0.7773067951202393,0.26735684275627136,0.00870361900887806,7.380101680755615,5.811173499369174,True,4,238,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.33496972918510437,0.2104305624961853,0.41189637780189514,0.7567610740661621,0.7563653588294983,0.31856879591941833
minimal-test-000118,3,20.0,12.38833432396253,0.014366939484126985,0.34921056032180786,0.2756391763687134,0.3110513985157013,0.7817420363426208,0.7583100199699402,0.2602863907814026,0.014366939484126985,12.388334274291992,11.005868132236927,True,1,154,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.34921056032180786,0.2756391763687134,0.3110513985157013,0.7817420363426208,0.7583100199699402,0.2602863907814026
minimal-test-000462,0,2.0,2.36591187864542,0.010259204171864825,0.15041117370128632,0.3525809347629547,0.36790740489959717,0.7470390200614929,0.7850247621536255,0.6457094550132751,0.0006102916043868528,1.9016220569610596,1.924231050874435,True,12,413,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.15000000596046448,0.3218092620372772,0.3688839077949524,0.7361754179000854,0.7807180285453796,0.6492001414299011
minimal-test-000462,1,4.308869380063768,2.6422402833898864,0.010099889526889188,0.15001000463962555,0.3392885625362396,0.4092303216457367,0.7150142788887024,0.7988193035125732,0.6491302251815796,0.0002785752781504759,0.6354953646659851,0.7716134466457687,True,4,210,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.1563914567232132,0.34286239743232727,0.390817791223526,0.7376166582107544,0.7865831255912781,0.6483985781669617
minimal-test-000462,2,9.283177667225555,6.0314313396811485,0.011829127484327065,0.1864691823720932,0.3678493797779083,0.355837881565094,0.7640388607978821,0.7781208753585815,0.6092614531517029,0.0007959816892443252,2.5806243419647217,2.6742428749314477,True,10,392,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.17509925365447998,0.3727693259716034,0.3990103304386139,0.7275362610816956,0.7768349647521973,0.6499660015106201
minimal-test-000462,3,20.0,15.652271427214146,0.015317603450694004,0.15001000463962555,0.5200260281562805,0.4499132037162781,0.8335779309272766,0.8174527883529663,0.6131867170333862,0.012678592576736578,31.370849609375,26.31891876025249,True,6,329,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.4250478446483612,0.5534583330154419,0.4678061306476593,0.4693097472190857,0.7829107642173767,0.639076828956604
minimal-test-000139,0,2.0,1.6573002984126408,0.0061896569289480495,0.15001000463962555,0.7602375149726868,0.6706794500350952,0.7616082429885864,0.648967444896698,0.5464325547218323,0.00021419106858429647,0.8317227363586426,0.7482012296701995,True,5,231,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.155117928981781,0.7627413868904114,0.6779288649559021,0.7700844407081604,0.6517395973205566,0.5560218691825867
minimal-test-000139,1,4.308869380063768,3.251620555917422,0.011448341898033723,0.19424296915531158,0.7821590304374695,0.7054171562194824,0.7745038866996765,0.652003288269043,0.5500251054763794,0.0006667342181970828,2.618102788925171,2.872675195084887,True,15,441,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.1893525868654251,0.7648350596427917,0.7043179869651794,0.7529197931289673,0.644698441028595,0.5508065819740295
