period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
2,0,raw,0.012960953451693059,0.013113843463361263,0.005299578754826687,2.890292619727552,2.9243870923295616,1.181806062326351,80,sample_ddof1; count=1 written as 0; empty=nan
16,2,raw,0.012624450027942657,0.012933625280857087,0.006583028550460481,2.8152523562312126,2.88419843763113,1.4680153667526874,10,sample_ddof1; count=1 written as 0; empty=nan
16,3,raw,0.012908270955085755,0.012908270955085755,0.004896891270446917,2.878544422984123,2.878544422984123,1.0920067533096622,10,sample_ddof1; count=1 written as 0; empty=nan
16,4,raw,0.013261283934116363,0.013261283934116363,0.0034908107651467346,2.957266317307949,2.957266317307949,0.7784508006277219,10,sample_ddof1; count=1 written as 0; empty=nan
16,5,raw,0.011976607143878937,0.011976607143878937,0.0034136334099698898,2.670783393085003,2.670783393085003,0.7612402504232854,10,sample_ddof1; count=1 written as 0; empty=nan
16,6,raw,0.012264679372310638,0.012264679372310638,0.0032634686641753578,2.7350235000252723,2.7350235000252723,0.7277535121111048,10,sample_ddof1; count=1 written as 0; empty=nan
16,7,raw,0.012401017546653747,0.012401017546653747,0.004137043811731177,2.7654269129037856,2.7654269129037856,0.9225607700160525,10,sample_ddof1; count=1 written as 0; empty=nan
16,8,raw,0.01374017894268036,0.01374017894268036,0.004278611040952978,3.06405990421772,3.06405990421772,0.9541302621325141,10,sample_ddof1; count=1 written as 0; empty=nan
16,9,raw,0.012507537007331848,0.012507537007331848,0.004829894703037038,2.7891807526350023,2.7891807526350023,1.0770665187772595,10,sample_ddof1; count=1 written as 0; empty=nan
16,10,raw,0.01192038059234619,0.01192038059234619,0.004745775403380016,2.6582448720932006,2.6582448720932006,1.0583079149537435,10,sample_ddof1; count=1 written as 0; empty=nan
16,11,raw,0.012651409208774566,0.012651409208774566,0.0059213852474888674,2.8212642535567283,2.8212642535567283,1.3204689101900176,10,sample_ddof1; count=1 written as 0; empty=nan
16,12,raw,0.013783174753189086,0.013783174753189086,0.006337427290401901,3.0736479699611663,3.0736479699611663,1.413246285759624,10,sample_ddof1; count=1 written as 0; empty=nan
16,13,raw,0.013006252050399781,0.013061243295669555,0.006941729278928575,2.900394207239151,2.912657254934311,1.5480056292010724,10,sample_ddof1; count=1 written as 0; empty=nan
16,14,raw,0.013336335122585297,0.013336335122585297,0.006048617311577925,2.9740027323365212,2.9740027323365212,1.3488416604818771,10,sample_ddof1; count=1 written as 0; empty=nan
16,15,raw,0.01239318698644638,0.01239318698644638,0.005110828736846022,2.763680697977543,2.763680697977543,1.1397148083166628,10,sample_ddof1; count=1 written as 0; empty=nan
16,0,detrended,0.0004723603498301136,0.004416870461661377,0.005981188072464453,0.10533635801211534,0.9849621129504873,1.3338049401595728,10,sample_ddof1; count=1 written as 0; empty=nan
16,1,detrended,-0.000714033033267021,0.004384167528538049,0.005908612214758722,-0.15922936641854568,0.9776693588639848,1.3176205238911949,10,sample_ddof1; count=1 written as 0; empty=nan
16,2,detrended,0.00022964689258054682,0.00401139781411205,0.00517514038157363,0.05121125704546192,0.8945417125469872,1.1540563050909196,10,sample_ddof1; count=1 written as 0; empty=nan
16,3,detrended,0.0004584585113144666,0.0027218964623633743,0.0035122454558940905,0.10223624802312606,0.6069829111070325,0.7832307366643823,10,sample_ddof1; count=1 written as 0; empty=nan
16,4,detrended,0.0007564621819358995,0.002133900501496708,0.0026114909345385543,0.16869106657170557,0.47585981183376597,0.5823624784020976,10,sample_ddof1; count=1 written as 0; empty=nan
16,5,detrended,-0.0005832239167107043,0.0021795091158497036,0.002699274320255055,-0.13005893342648706,0.4860305328344839,0.6019381734168773,10,sample_ddof1; count=1 written as 0; empty=nan
16,6,detrended,-0.00035016099668817976,0.0023016446322764996,0.003282068958898648,-0.0780859022614641,0.5132667529976593,0.7319013778343986,10,sample_ddof1; count=1 written as 0; empty=nan
16,7,detrended,-0.00026883213075424694,0.0021954573487054613,0.0029969324477683848,-0.05994956515819705,0.48958698876131795,0.6683159358523499,10,sample_ddof1; count=1 written as 0; empty=nan
16,8,detrended,0.0010153199568631874,0.002917124152866337,0.0033560699465681717,0.22641635038049074,0.6505186860891932,0.7484035980847022,10,sample_ddof1; count=1 written as 0; empty=nan
16,9,detrended,-0.00027233128689450046,0.0029822028155195115,0.004013031888299155,-0.06072987697747364,0.665031227860851,0.8949061110907116,10,sample_ddof1; count=1 written as 0; empty=nan
16,10,detrended,-0.0009144970102893335,0.0030757613788356354,0.0041567411580296434,-0.2039328332945214,0.6858947874803467,0.9269532782406105,10,sample_ddof1; count=1 written as 0; empty=nan
16,11,detrended,-0.00023847770227013523,0.004140278197262648,0.0052388070910364,-0.053180527606240105,0.9232820379895704,1.1682539813011172,10,sample_ddof1; count=1 written as 0; empty=nan
16,12,detrended,0.0008382785337352081,0.005192049503667818,0.006210876863070923,0.1869361130229515,1.1578270393179235,1.3850255404648157,10,sample_ddof1; count=1 written as 0; empty=nan
16,13,detrended,6.34652253672513e-06,0.005855883621783913,0.007116601688449072,0.001415274525689636,1.3058620476578124,1.587002176524143,10,sample_ddof1; count=1 written as 0; empty=nan
16,14,detrended,0.0002814202863130642,0.005183017217727364,0.006630121978817323,0.06275672384781328,1.1558128395532021,1.4785172012762628,10,sample_ddof1; count=1 written as 0; empty=nan
16,15,detrended,-0.0007167371582350281,0.0035568898699354285,0.004745772130007745,-0.15983238628641122,0.7931864409956007,1.0583071849917272,10,sample_ddof1; count=1 written as 0; empty=nan
32,0,raw,0.008127626776695252,0.009955516457557679,0.008172827059555372,1.8124607712030412,2.220080170035362,1.8225404342808482,5,sample_ddof1; count=1 written as 0; empty=nan
32,1,raw,0.006801518797874451,0.008794716000556946,0.007516437552946248,1.5167386919260024,1.961221668124199,1.6761655743070134,5,sample_ddof1; count=1 written as 0; empty=nan
32,2,raw,0.008196121454238892,0.008814471960067748,0.006165462515634518,1.8277350842952729,1.965627247095108,1.3748981409864973,5,sample_ddof1; count=1 written as 0; empty=nan
32,3,raw,0.010296741127967834,0.010296741127967834,0.005280818952789077,2.2961732715368273,2.2961732715368273,1.1776226264719643,5,sample_ddof1; count=1 written as 0; empty=nan
32,4,raw,0.012463876605033874,0.012463876605033874,0.0044244236746031436,2.779444482922554,2.779444482922554,0.986646479436501,5,sample_ddof1; count=1 written as 0; empty=nan
32,5,raw,0.01214982271194458,0.01214982271194458,0.004515587754762844,2.7094104647636414,2.7094104647636414,1.0069760693121141,5,sample_ddof1; count=1 written as 0; empty=nan
32,6,raw,0.013854208588600158,0.013854208588600158,0.0034926061673967363,3.0894885152578353,3.0894885152578353,0.7788511753294721,5,sample_ddof1; count=1 written as 0; empty=nan
32,7,raw,0.013797181844711303,0.013797181844711303,0.0043242109606100405,3.0767715513706206,3.0767715513706206,0.964299044216039,5,sample_ddof1; count=1 written as 0; empty=nan
32,8,raw,0.015465635061264037,0.015465635061264037,0.0036732020714123105,3.4488366186618804,3.4488366186618804,0.8191240619249452,5,sample_ddof1; count=1 written as 0; empty=nan
32,9,raw,0.014813542366027832,0.014813542366027832,0.003473038595848447,3.3034199476242065,3.3034199476242065,0.7744876068742037,5,sample_ddof1; count=1 written as 0; empty=nan
32,10,raw,0.014131706953048707,0.014131706953048707,0.0031007397142361983,3.1513706505298615,3.1513706505298615,0.6914649562746722,5,sample_ddof1; count=1 written as 0; empty=nan
32,11,raw,0.015895941853523256,0.015895941853523256,0.0033658772719440478,3.544795033335686,3.544795033335686,0.7505906316435227,5,sample_ddof1; count=1 written as 0; empty=nan
32,12,raw,0.018208378553390504,0.018208378553390504,0.002524525950003021,4.060468417406082,4.060468417406082,0.5629692868506737,5,sample_ddof1; count=1 written as 0; empty=nan
32,13,raw,0.01842206120491028,0.01842206120491028,0.0022572009198099175,4.108119648694992,4.108119648694992,0.5033558051176116,5,sample_ddof1; count=1 written as 0; empty=nan
32,14,raw,0.018079277873039246,0.018079277873039246,0.002245891359297966,4.031678965687751,4.031678965687751,0.5008337731234462,5,sample_ddof1; count=1 written as 0; empty=nan
32,15,raw,0.014946350455284118,0.014946350455284118,0.0036463534304294128,3.3330361515283586,3.3330361515283586,0.8131368149857591,5,sample_ddof1; count=1 written as 0; empty=nan
32,16,raw,0.01738666296005249,0.01738666296005249,0.003575479389912215,3.8772258400917052,3.8772258400917052,0.797331903950424,5,sample_ddof1; count=1 written as 0; empty=nan
32,17,raw,0.016450002789497375,0.016450002789497375,0.0037950310388307246,3.6683506220579147,3.6683506220579147,0.8462919216592516,5,sample_ddof1; count=1 written as 0; empty=nan
32,18,raw,0.017052778601646425,0.017052778601646425,0.003235495803273853,3.8027696281671526,3.8027696281671526,0.7215155641300692,5,sample_ddof1; count=1 written as 0; empty=nan
32,19,raw,0.015519800782203674,0.015519800782203674,0.0030027829343544847,3.4609155744314193,3.4609155744314193,0.6696205943610501,5,sample_ddof1; count=1 written as 0; empty=nan
