period,residue,signal,mean_error,mae,std,mean_error_px,mae_px,std_px,count,std_definition
16,13,detrended,0.0005620771746387878,0.000990496754827916,0.001125960678903837,0.12534320994444967,0.22088077632662526,0.2510892313955557,10,sample_ddof1; count=1 written as 0; empty=nan
16,14,detrended,-0.00013053743850859363,0.0009206509444856929,0.0012229377254789364,-0.029109848787416386,0.2053051606203095,0.27271511278180277,10,sample_ddof1; count=1 written as 0; empty=nan
16,15,detrended,-0.0007072254879161987,0.0009176144994368352,0.0011691413208659543,-0.1577112838053123,0.20462803337441424,0.26071851455310785,10,sample_ddof1; count=1 written as 0; empty=nan
32,0,raw,-0.001358872652053833,0.0029714763164520263,0.0031570079406436553,-0.30302860140800475,0.6626392185688019,0.7040127707635352,5,sample_ddof1; count=1 written as 0; empty=nan
32,1,raw,-0.0019444942474365235,0.0022048711776733398,0.0015608658826821251,-0.4336222171783447,0.4916862726211548,0.3480730918381139,5,sample_ddof1; count=1 written as 0; empty=nan
32,2,raw,-0.0021481752395629884,0.0021481752395629884,0.0004950514856766682,-0.4790430784225464,0.4790430784225464,0.11039648130589702,5,sample_ddof1; count=1 written as 0; empty=nan
32,3,raw,-0.0017848581075668335,0.0017848581075668335,0.0007855142739344124,-0.39802335798740385,0.39802335798740385,0.175169683087374,5,sample_ddof1; count=1 written as 0; empty=nan
32,4,raw,-0.0011942028999328614,0.0013767123222351075,0.0014345600852727462,-0.2663072466850281,0.30700684785842897,0.31990689901582237,5,sample_ddof1; count=1 written as 0; empty=nan
32,5,raw,-0.0005696743726730346,0.0015394777059555055,0.0017712037870029464,-0.12703738510608673,0.3433035284280777,0.394978444501657,5,sample_ddof1; count=1 written as 0; empty=nan
32,6,raw,0.000883522629737854,0.0016903609037399292,0.0020163204590235755,0.19702554643154144,0.37695048153400423,0.4496394623622573,5,sample_ddof1; count=1 written as 0; empty=nan
32,7,raw,0.0021453499794006348,0.002433514595031738,0.0020663961039471086,0.47841304540634155,0.5426737546920777,0.4608063311802052,5,sample_ddof1; count=1 written as 0; empty=nan
32,8,raw,0.0025647133588790894,0.002614155411720276,0.0018680068175095008,0.5719310790300369,0.5829566568136215,0.4165655203046187,5,sample_ddof1; count=1 written as 0; empty=nan
